"vote","prtvede1","prtvede2","gndr","agea"
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",85
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",49
"Yes","The Greens","Social Democratic Party (SPD)","Female",70
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",51
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",40
"Not eligible to vote",NA,NA,"Female",18
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",41
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",36
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Male",44
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",34
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",52
"Yes","Social Democratic Party (SPD)",NA,"Female",29
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",31
"Yes","The Greens","Other","Female",35
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",72
"Yes",NA,NA,"Female",27
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",35
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",55
"Yes","Other","The Left (Die Linke)","Female",60
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",83
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",45
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",50
"No",NA,NA,"Male",58
"Yes","The Greens","The Greens","Male",37
"Not eligible to vote",NA,NA,"Male",16
"Yes","The Greens","The Greens","Female",31
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",23
"No",NA,NA,"Male",31
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",60
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",79
"Yes",NA,NA,"Female",46
"Not eligible to vote",NA,NA,"Female",31
"No",NA,NA,"Male",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",72
"Yes","The Greens","The Greens","Male",56
"Not eligible to vote",NA,NA,"Male",16
"No",NA,NA,"Male",25
"No",NA,NA,"Male",63
"Yes",NA,NA,"Female",54
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",61
"Yes",NA,"Christian Democratic Union (CDU/CSU)","Male",24
"No",NA,NA,"Male",23
"Yes","The Greens","The Greens","Male",29
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Female",78
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",53
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",47
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",46
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",57
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",53
"Not eligible to vote",NA,NA,"Male",15
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",35
"No",NA,NA,"Male",15
"No",NA,NA,"Male",49
"Yes","Social Democratic Party (SPD)","The Greens","Male",60
"Not eligible to vote",NA,NA,"Female",27
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",82
"Not eligible to vote",NA,NA,"Male",15
"Yes",NA,"The Left (Die Linke)","Male",66
"No",NA,NA,"Male",59
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",71
"Yes","Social Democratic Party (SPD)","Christian Democratic Union (CDU/CSU)","Female",71
"Yes","Christian Democratic Union (CDU/CSU)",NA,"Female",20
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",73
"Yes",NA,NA,"Female",50
"Yes","The Greens","Social Democratic Party (SPD)","Female",66
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",67
"Yes","The Greens","The Greens","Female",74
"No",NA,NA,"Female",43
"No",NA,NA,"Male",52
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",51
"No",NA,NA,"Male",47
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",84
"Yes","Alternative for Germany (AFD)","Social Democratic Party (SPD)","Female",65
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Male",73
"Yes","Alternative for Germany (AFD)",NA,"Female",46
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",60
"Yes","The Greens","The Greens","Male",58
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",66
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",79
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",78
"Not eligible to vote",NA,NA,"Female",45
"Yes","The Left (Die Linke)","The Left (Die Linke)","Male",19
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",73
"Yes","The Greens","The Greens","Male",19
"No",NA,NA,"Female",42
"Yes","The Left (Die Linke)","The Greens","Female",53
"Not eligible to vote",NA,NA,"Male",18
"No",NA,NA,"Male",62
"No",NA,NA,"Male",59
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",52
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",26
"Yes",NA,NA,"Male",24
"Not eligible to vote",NA,NA,"Male",18
"Yes","Other","Christian Democratic Union (CDU/CSU)","Female",64
"Yes",NA,"The Left (Die Linke)","Female",37
"No",NA,NA,"Male",61
"No",NA,NA,"Male",38
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",58
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",21
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",86
"Yes","The Left (Die Linke)","The Left (Die Linke)","Female",26
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",65
"Yes","The Greens","The Left (Die Linke)","Male",68
"Yes",NA,NA,"Male",47
"Yes",NA,NA,"Male",63
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",61
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",38
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",47
"Yes","The Greens","The Greens","Female",60
"Yes","Social Democratic Party (SPD)","The Greens","Female",60
"Yes","Social Democratic Party (SPD)","The Greens","Male",31
"Yes","Christian Democratic Union (CDU/CSU)","Free Democratic Party (FDP)","Male",23
"Yes",NA,NA,"Female",62
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",72
"Yes","The Greens","The Greens","Male",40
"No",NA,NA,"Male",80
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",48
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",72
"No",NA,NA,"Male",39
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",35
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Female",58
"Yes","The Greens","The Greens","Female",44
"Yes","The Greens","Social Democratic Party (SPD)","Female",64
"Yes","Other",NA,"Female",25
"Yes","Alternative for Germany (AFD)","Alternative for Germany (AFD)","Female",67
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",48
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Male",34
"Yes","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Female",69
"No",NA,NA,"Male",34
"Yes","Christian Democratic Union (CDU/CSU)","The Greens","Female",60
"Yes","The Greens","Christian Democratic Union (CDU/CSU)","Male",51
"No",NA,NA,"Female",51
"No",NA,NA,"Female",76
"Yes","The Greens","The Greens","Male",54
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",63
"Not eligible to vote",NA,NA,"Male",19
"Yes","Social Democratic Party (SPD)","Social Democratic Party (SPD)","Male",64
"No",NA,NA,"Male",19
"Yes","Free Democratic Party (FDP)","Free Democratic Party (FDP)","Male",61
